time,contents
['2018-10-16 13:23:17'],"['本次购物真是不愉快极了', '京东客服人员', '第三方客服的素质差到极致', '不喜欢京东这个平台', '删了', '以后不用了']"
['2018-06-28 12:42:34'],"['没心率', '差评']"
['2019-06-13 21:51:34'],"['东西非本人签收', '已丢', '我不知道这样的服务态度怎么让我放心网上购物']"
['2019-07-21 08:56:24'],"['刚买第二天就降价了', '这也太', '了', '差评']"
['2018-05-12 14:40:25'],"['只是看看数据居然装这多软件', '体验太差了', '性价比太低']"
['2017-11-12 21:39:00'],"['东西不怎么样', '关机了之后又自动开机', '试了几次都这样', '问客服也不回答', '所以我要给差评']"
['2018-11-14 10:31:44'],"['底座有划痕', '耳机上有瑕疵', '退货了', '给了差评']"
['2018-01-22 19:50:45'],"['第一次差评', '客服不鸟我', '不到啥原因', '不如别的平台', '以后不来京东了']"
['2019-08-08 23:44:24'],"['音质非常非常垃圾', '还不如五块钱的耳机呢']"
['2019-03-09 15:52:47'],"['垃圾', '不值这个价格', '耳机戴的我都想把它摔了']"
['2018-03-16 21:43:13'],"['垃圾的手环', '没有配充电头', '电池不耐用', '只能用三天']"
['2018-07-27 23:28:43'],['太贵']
['2017-11-13 23:17:43'],"['不好', '不好', '反正就是不好', '别问为什么', '以后京东买东西都差评']"
['2017-12-12 15:48:54'],"['差评', '手环买回来想问问怎么操作没人搭理', '现在也不会用']"
['2019-02-10 16:07:40'],"['差劲', '差劲', '差劲']"
['2019-02-14 12:10:45'],['一点都不好']
['2019-03-14 13:55:29'],['垃圾的很']
['2018-07-01 17:45:44'],"['不行', '电池待机时间只有一天时间', '电池不行', '差评']"
['2019-07-22 09:26:12'],"['差评', '差评', '差评', '手表拆包后缝隙里面发现是脏的']"
['2019-06-06 11:13:21'],"['服务太差', '问问题没人回复', '天气温度显示值和实际温度相差很大']"
['2019-06-21 06:58:40'],"['最差一次购物', '广告中的赠品一件都没有', '客服竟然说自己没有选择', '有好多好多赠品可以选吗']"
['2018-04-14 18:35:29'],"['很差的一次购物', '东西一点也不值', '很多功能都没有', '有一种上当了的感觉']"
