brand,p_name,sku_id,weight,local,control,inch,connect,communicate,materal,IPXX,xuhang,display,funy,severce,is_bluetooth_talk,people,function
华为（HUAWEI）,['华为'],['45234515968'],['46.00'],['中国大陆'],[],[],[],[],['其他'],['50米防水'],['8-15'],['彩色触屏'],[],['一年质保'],[],['女士'],[]
华为（HUAWEI）,['华为'],['35701048864'],['1.0'],[],[],[],[],[],['皮革'],['50米及以上防水'],['4-7'],['彩色触屏'],['10'],['一年质保'],[],['通用'],[]
AMAZFIT,['AMAZFITA1930'],['100006955452'],['200.00'],['中国大陆'],['单点触控'],['0.8'],['支持蓝牙'],['无'],['TPU'],['生活防水'],['7-10'],['黑白屏'],['无'],['一年质保'],['不支持蓝牙通话'],['通用'],['心率监测']
华为（HUAWEI）,['华为'],['43293592599'],['23.00'],['中国大陆'],[],[],[],[],[],[],[],[],[],[],[],[],[]
乐心（lifesense）,['乐心'],['100001798137'],['120.00'],['中国大陆'],['单点触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['TPU'],['30米防水'],['24'],['彩屏'],['跑步'],['一年质保'],['不支持蓝牙通话'],['通用'],['消息提醒']
华为（HUAWEI）,['华为'],['34049866533'],['300.00'],[],['全屏触控'],['0.8-1.0'],[],[],['皮革'],['50米防水'],[],['彩屏'],['跑步'],['一年质保'],[],['男士'],['消息提醒']
瑞德罗曼,['瑞德罗曼W250'],['40880517992'],['1.0'],[],['单点触控'],['1.2'],['支持蓝牙'],['来电提醒'],['金属'],['生活防水'],['7'],['彩屏'],['跑步'],[],['不支持蓝牙通话'],['通用'],['消息提醒']
ADZ,['ADZAV5'],['47620770423'],['173.00'],['中国大陆'],['单点触控'],['1.2'],[],[],['硅胶'],['生活防水'],[],['彩屏'],['跑步'],[],[],['男士'],['消息提醒']
华为（HUAWEI）,['华为'],['19512316969'],['90.00'],[],['单点触控'],['0.8'],['支持蓝牙'],['来电提醒'],['TPU'],['50米防水'],['12-14'],['黑白屏'],['跑步'],['一年质保'],['不支持蓝牙通话'],['男士'],['消息提醒']
小米（MI）,['小米'],['49866112834'],['500.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
斯泰克（stiger）,['斯泰克P11'],['100007255278'],['125.00'],['中国大陆'],['单点触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['TPU'],['生活防水'],['7'],['彩屏'],['跑步'],['一年质保'],['不支持蓝牙通话'],['男士'],['消息提醒']
华为（HUAWEI）,['华为'],['52616058004'],['300.00'],['中国大陆'],['全屏触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['硅胶'],['50米防水'],[],['彩屏'],['跑步'],['一年质保'],['不支持蓝牙通话'],['通用'],['心率监测']
360,['360'],['50195514455'],['100.00'],[],[],[],[],[],['硅胶'],['生活防水'],['3'],['彩色触屏'],[],[],[],['通用'],[]
小米（MI）,['小米'],['11726975656'],['170.00'],['中国大陆'],[],[],[],[],['硅胶'],['生活防水'],['3'],['彩色触屏'],[],[],[],['儿童'],[]
dido,['didoG16'],['100002113677'],['120.00'],['中国大陆'],['单点触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['硅胶'],['生活防水'],['7-10'],['彩屏'],['跑步'],['一年质保'],['不支持蓝牙通话'],['通用'],['消息提醒']
dido,['didoF10'],['48923924816'],['150.00'],['中国大陆'],['单点触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['硅胶'],['30米防水'],['7-10'],['彩屏'],['骑行'],['一年质保'],['不支持蓝牙通话'],['通用'],['消息提醒']
华为（HUAWEI）,[],['39069670010'],['60.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
小米（MI）,['小米'],['50046018713'],['300.0'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
小米（MI）,['小米'],['54983940777'],['170.00'],['中国大陆'],[],[],[],[],['硅胶'],['生活防水'],['3'],['彩色触屏'],['5'],[],[],['儿童'],[]
小米（MI）,['小米'],['50429002221'],['65.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
华为（HUAWEI）,['华为'],['13343592147'],['85.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
华为（HUAWEI）,['华为手环3pro'],['43271860332'],['500.00'],['中国大陆'],[],[],[],[],[],[],[],[],[],[],[],[],[]
欧坦,['欧坦VIQO'],['51899676209'],['150.00'],[],[],[],[],[],['TPU'],['生活防水'],['3'],['彩色触屏'],[],['30天无忧退'],[],['老人'],[]
